ID,Aircraft,Community,Clock,Industrial,Shipping,Vehicular,NoiseLevel,NoiseLevelSquare,Comprehensibility,Intelligibility,UEQKPI,Attractiveness,UEQComprehensibility,Dependability,Efficiency,ContentQuality,ContentTrustworthiness,Acoustics,PeakPupilListen,MeanPupilListen,PrepeakPupilListen,PeakPupilSize,MeanPupilSpeak,PrepeakPupilSpeak,IntelligibilityTransformer,Time,Sex,Age,Bachelor,Master,Doctorate,CS,Economy,Management,Engeneering,Cet4,Cet6,Round,RoundBreak
21377185,0,0,0,0,0,1,62,3844,1,0.80707196,1.214285714,4.25,6.25,6.25,3,5,4,1,1.438230597,0.935020979,0.822687093,2.064910889,1.231897348,1.285736105,0.727286637,3361,1,20,1,0,0,0,0,1,0,500,507,1,1
21377187,0,0,0,0,1,0,66,4356,0.875,1,1.321428571,2,6,5.75,3,4.5,5,2.5,0.778542478,-0.228131067,-0.964309988,1.19362294,0.10251962,-0.14299163,0.998910189,3829,1,21,1,0,0,0,1,0,0,590,507,10,10
21377181,0,0,0,0,1,0,70,4900,0.9375,0.839285714,12.85714286,6,7,7,7,5.5,7,5,0.645561547,-0.188337741,-0.483198114,1.186867285,-0.107847664,-0.05787229,0.941338778,3697,1,20,1,0,0,0,1,0,0,524,520,24,12
21377185,0,0,0,1,0,0,66,4356,0.9375,0.920122888,14.71428571,5.25,7,7,7,4.75,7,7,2.763319648,1.431987026,1.502118301,1.551486072,0.885166363,0.796227506,0.944526613,3361,1,20,1,0,0,0,0,1,0,500,507,19,7
21377185,0,0,0,0,0,1,66,4356,1,0.5,0.892857143,4.75,4,7,4.25,3.75,1,5.25,1.045611619,0.374992397,0.190721546,1.230595561,0.552588851,0.778066078,0.640964866,3361,1,20,1,0,0,0,0,1,0,500,507,14,2
22377201,0,0,0,0,0,1,62,3844,1,0.858974359,9.178571429,6.75,7,6,5.75,4.25,5.75,3.5,1.039265458,-0.21375154,-0.297250467,1.815544546,0.352980594,0.20858125,0.963079095,5381,1,20,1,0,0,0,1,0,0,512,507,9,9
21377255,0,0,0,0,1,0,70,4900,0.8125,0.549242424,1.892857143,1.25,6.75,5.25,5.5,5.5,6.75,1,-0.388336523,-0.653892595,-1.088125949,1.581204344,-0.033674988,0.099595772,0.557555199,4201,0,19,1,0,0,0,0,0,1,524,538,14,2
21081004,0,0,0,0,0,1,70,4900,0.875,0.891666667,3.714285714,3.25,6,5,5.75,5.25,5,3,0.439299665,-0.758105558,-0.954290594,2.012162458,0.111425652,0.245047486,0.95080483,4935,0,20,1,0,0,0,0,1,0,524,450,18,6
22377260,0,0,0,1,0,0,66,4356,0.875,0.854166667,12.42857143,6.75,7,7,7,6.5,7,3.75,0.565070587,-0.355279064,-0.69748673,0.38171164,0.058541497,-0.251564321,0.887885571,4650,0,18,1,0,0,0,0,1,0,460,507,23,11
22377260,1,0,0,0,0,0,70,4900,0.75,0.970588235,13.82142857,7,6.5,6.75,7,6.25,7,6,-0.947640721,-2.032466738,-1.792758775,-0.78261767,-1.656114687,-2.234884488,0.916751981,4650,0,18,1,0,0,0,0,1,0,460,507,21,9
zy2342116,0,0,0,1,0,0,66,4356,0.75,0.980769231,-0.392857143,3,5.25,5.5,3,2.75,4.5,3.25,0.761782163,-0.347459642,0.008186958,0.66420683,-0.301685162,-0.555103678,0.997618735,4573,1,23,0,1,0,1,0,0,0,524,536,10,10
21379216,1,0,0,0,0,0,58,3364,0.9375,0.926470588,-0.928571429,3.25,5,5,3.5,2.75,4.25,2.75,0.93998355,0.312644846,0.021167155,3.746469594,1.191879266,1.170262348,0.989021063,4343,1,20,1,0,0,0,1,0,0,514,432,2,2
22377201,0,0,0,1,0,0,58,3364,1,0.840725806,11.85714286,7,6.5,6.75,7,5.25,4.75,5.5,0.922406241,-0.589911501,-0.606414907,1.072653806,0.078952977,-0.118892858,0.989762127,5381,1,20,1,0,0,0,1,0,0,512,507,20,8
22377201,0,0,0,1,0,0,62,3844,1,0.73245614,11.67857143,6,7,6.25,5.75,4.75,6.25,5.75,0.863976632,-0.313841271,-0.293717958,1.74876785,0.381594501,0.236920028,0.982686281,5381,1,20,1,0,0,0,1,0,0,512,507,14,2
21377174,0,0,0,0,0,1,62,3844,1,0.87826087,-1.714285714,1,6.5,3.5,4,1.5,5.25,2,0.022292956,-0.647163506,-0.692325251,1.727812991,-0.109376989,-0.021540503,0.972661614,4494,0,20,1,0,0,0,1,0,0,660,580,17,5
sy2314105,0,0,0,1,0,0,66,4356,0.9375,0.649038462,14.71428571,7,7,6.75,7,7,7,6.25,0.697422777,-0.123811804,-0.324293746,1.976306044,0.511863985,0.65826291,0.84095335,3119,0,22,0,1,0,0,0,0,1,524,461,8,8
22377333,0,0,0,0,1,0,62,3844,1,0.73,7.285714286,6.25,6.25,5.75,6,6.25,6,4.25,1.15432746,0.001821696,0.086579148,1.434441967,0.604856894,0.186117353,0.780406475,5195,0,19,1,0,0,0,1,0,0,425,507,6,6
21377255,0,1,0,0,0,0,66,4356,0.875,0.444444444,5.357142857,2.75,6.5,6,5.75,6.25,6.5,3.75,0.873054819,-0.384648244,-0.290429486,2.569663056,-0.737038237,-0.635786499,0.557612598,4201,0,19,1,0,0,0,0,0,1,524,538,18,6
21377151,0,0,0,0,0,1,66,4356,0.8125,0.956439394,5.607142857,4,6,6,5.25,5,5.75,3.25,1.477213329,0.518847374,0.009318999,2.109837725,0.368114754,0.888564044,0.690514326,3626,1,20,1,0,0,1,0,0,0,482,507,2,2
21377171,0,0,0,0,1,0,66,4356,0.9375,0.611111111,4.535714286,4.75,6,6.5,4.5,4.25,6.75,1.5,0.823727671,-0.600325608,-0.976827197,2.314735339,0.290337428,0.230643099,0.712242067,4767,0,20,1,0,0,0,1,0,0,524,535,19,7
21377255,0,1,0,0,0,0,70,4900,0.8125,0.534090909,5.571428571,3.25,6.5,6.75,6.25,6.5,6.5,2.5,1.131234333,0.286794126,0.356926308,1.883643204,0.453024954,0.329080985,0.660954356,4201,0,19,1,0,0,0,0,0,1,524,538,8,8
22377201,0,0,0,0,0,1,70,4900,0.875,0.895833333,6.607142857,4.25,6.75,5.25,6,4,6,3.25,0.488357718,-0.237838848,-0.337725655,1.656949894,0.291992497,0.114686458,0.975555778,5381,1,20,1,0,0,0,1,0,0,512,507,15,3
21081004,0,1,0,0,0,0,70,4900,0.6875,1,1.071428571,3.25,5,5,4.75,3.5,4.75,3.25,0.906084752,-0.231885103,-0.71480955,2.2354075,0.089288908,0.101895227,0.748624802,4935,0,20,1,0,0,0,0,1,0,524,450,9,9
21377003,0,0,0,0,1,0,70,4900,0.9375,0.904761905,16.82142857,6.75,7,7,7,6.75,7,6.5,1.54909321,0.179097044,0.004717031,3.534413938,0.80005179,1.193740035,0.9719733,3133,0,20,1,0,0,1,0,0,0,524,487,11,11
21377174,0,0,1,0,0,0,62,3844,1,0.961538462,1.071428571,1.5,7,5,4,1.75,5.5,2.25,0.62799166,-0.034272616,-0.205792834,1.942995425,0.585620998,0.404654164,0.988443375,4494,0,20,1,0,0,0,1,0,0,660,580,10,10
22377201,0,0,0,1,0,0,66,4356,0.625,0.934782609,6.035714286,3.75,5.5,5.75,6,7,4.75,2.5,0.822241197,-0.259027607,-0.146815852,2.182816372,0.680083885,0.365377304,0.681020021,5381,1,20,1,0,0,0,1,0,0,512,507,3,3
21377225,0,0,0,0,1,0,66,4356,0.8125,0.802083333,-1.571428571,2.5,5.25,4.5,3.25,4.25,3.75,2.5,0.115030248,-0.300244501,-0.421620877,1.828786563,-0.296099212,-0.022118127,0.732220888,4985,0,20,1,0,0,1,0,0,0,625,605,21,9
22377005,0,0,0,1,0,0,70,4900,0.6875,0.8,5.964285714,5,5.25,5.25,5.25,5.75,6,3,0.03911044,-0.112442595,-0.328046331,1.842112439,0.505059799,0.246947398,0.880697608,6333,0,18,1,0,0,1,0,0,0,443,507,9,9
22377201,0,1,0,0,0,0,58,3364,1,0.928571429,4.714285714,6.5,4,5.25,6,3,5.25,4.25,0.713729066,-0.574695261,-0.697910641,0.997530023,-0.265097304,-0.354698065,0.90643096,5381,1,20,1,0,0,0,1,0,0,512,507,21,9
21379216,0,1,0,0,0,0,66,4356,0.875,0.916666667,0.142857143,4,5,5,4,3.25,3.75,3,0.735633834,-0.710811021,-0.453677687,1.06263204,-0.357282597,-0.220487607,0.925180972,4343,1,20,1,0,0,0,1,0,0,514,432,19,7
21377369,0,0,0,0,1,0,70,4900,0.9375,0.74469496,11.35714286,5.25,6.75,6.5,6,5.5,5.75,5,4.211983164,1.643101138,1.73088677,2.209389986,1.198569122,0.886464796,0.761870623,4353,0,19,1,0,0,0,1,0,0,605,528,1,1
21377255,1,0,0,0,0,0,70,4900,0.75,0.846153846,8.107142857,5.25,6.5,6.75,6.5,5.5,6.25,5.25,1.677099592,0.1116887,0.129497818,3.167164218,0.405146362,0.624449135,0.812130094,4201,0,19,1,0,0,0,0,0,1,524,538,3,3
sy2314105,0,0,1,0,0,0,70,4900,1,0.824404762,14.85714286,7,6.75,6.75,7,7,7,6.75,-0.477203702,-0.999585082,-1.216268489,2.170918715,-0.332237121,0.387910437,0.932470798,3119,0,22,0,1,0,0,0,0,1,524,461,24,12
21377225,0,0,0,0,1,0,62,3844,0.8125,0.961538462,2.678571429,2.75,5.75,4.5,4.5,5.25,5,3.75,1.235194991,0.414219549,0.310766537,2.307489445,0.09437044,1.34689233,0.64689213,4985,0,20,1,0,0,1,0,0,0,625,605,2,2
22377084,0,1,0,0,0,0,62,3844,0.8125,0.847670251,-5.785714286,2.75,2,3,3.5,3,3,2.25,0.218300058,-0.647411847,-0.799634042,2.050889437,0.549348462,0.116489537,0.699868083,3935,1,18,1,0,0,1,0,0,0,400,507,2,2
22377206,0,0,0,0,0,1,58,3364,0.8125,0.872994652,-5.75,2,3,4.25,3.25,2.75,3.5,1.25,1.788664784,0.708344201,0.601736895,2.663243229,0.262108247,0.914086339,0.622761965,5428,1,19,1,0,0,0,0,0,1,524,496,2,2
sy2314105,0,0,0,0,0,1,66,4356,1,0.555555556,14.71428571,7,7,6.75,7,6.75,6.75,6.75,2.407234101,0.454314903,0.168195462,2.316878218,1.131787013,0.886610705,0.684534431,3119,0,22,0,1,0,0,0,0,1,524,461,3,3
