ID,Aircraft,Community,Clock,Industrial,Shipping,Vehicular,NoiseLevel,NoiseLevelSquare,Comprehensibility,Intelligibility,UEQKPI,Attractiveness,UEQComprehensibility,Dependability,Efficiency,ContentQuality,ContentTrustworthiness,Acoustics,PeakPupilListen,MeanPupilListen,PrepeakPupilListen,PeakPupilSpeak,MeanPupilSpeak,PrepeakPupilSpeak,IntelligibilityTransformer,Time,Sex,Age,Bachelor,Master,Doctorate,CS,Economy,Management,Engeneering,Cet4,Cet6,Round,RoundBreak
by2308111,0,0,0,0,1,0,62,3844,0.5625,0.452479952,-9.607142857,1,1,1,1,1,1,1,0.452982053,-0.01268713,-0.07884045,0.53146706,-0.134137785,-0.156618496,0.531792879,3398,1,22,0,0,1,0,1,0,0,580,510,23,11
20377359,0,0,0,1,0,0,66,4356,0.8125,0.772074984,3.392857143,5.5,7,7,6.75,5.75,7,4.75,-0.443414412,-0.630305857,-0.696935592,2.44113246,0.686234552,1.074524848,0.338114858,3539,0,22,1,0,0,0,1,0,0,556,523,16,4
22374085,1,0,0,0,0,0,62,3844,0.6875,0.571381579,1.571428571,4.75,5,4.75,4.25,5.25,6.5,2.25,0.377010893,-0.38771642,-0.356390542,1.526790882,-0.364438703,-0.376765902,0.066027984,4395,0,19,1,0,0,0,0,0,1,545,523,19,7
21377053,0,0,1,0,0,0,62,3844,0.75,0.705911575,-5.214285714,1.25,5,4.75,1.75,3.75,3.5,2.25,-0.144454091,-0.844079219,-0.979511912,0.578891994,0.109403551,-0.00056289,0.003894677,4273,1,20,1,0,0,0,1,0,0,570,553,4,4
21377006,0,0,0,1,0,0,58,3364,0.625,0.571122995,14.39285714,5,5.5,6,5.5,4.75,6,3.25,0.249091506,0.091788463,-0.17841004,0.001692072,-0.54935341,-0.572677909,0.82005769,4012,0,20,1,0,0,1,0,0,0,585,530,24,12
20377292,0,0,0,1,0,0,58,3364,0.6875,0.631444683,7.535714286,6,6.5,6.25,6.5,6,6,3.75,0.357215721,0.29813347,-0.07826592,1.985673404,-0.008126957,0.251126135,0.070415631,4467,1,20,1,0,0,1,0,0,0,500,523,6,6
21377086,0,0,0,1,0,0,70,4900,0.375,0.226059755,1.357142857,3.75,5,5,5,4.75,5,3.75,0.3631216,-0.180830716,-0.240240006,0.707793392,-0.261843341,-0.15640863,0.164863557,4101,0,20,1,0,0,1,0,0,0,500,500,11,11
20377359,0,0,0,1,0,0,62,3844,0.625,0.204575163,0.714285714,2.25,7,5.25,5,5,6,1,0.145097655,-0.053048575,-0.23076275,1.408261435,0.105662552,0.224382294,-0.004806807,3539,0,22,1,0,0,0,1,0,0,556,523,3,3
by2308103,0,0,0,1,0,0,70,4900,0.625,0.298809524,2.678571429,6.75,7,7,7,6.5,7,6,0.694500725,0.404280006,0.404359908,1.184408639,0.417557851,0.492066875,-0.007098557,4557,1,23,0,0,1,0,0,1,0,556,553,7,7
20377359,0,0,0,0,1,0,66,4356,0.625,0.293181818,1.785714286,1.25,7,6.5,4.5,5.25,6,1.75,-0.427099102,-0.574299675,-0.740202971,0.068886333,0.141312953,-0.117224729,0.035627313,3539,0,22,1,0,0,0,1,0,0,556,523,13,1
21377006,1,0,0,0,0,0,58,3364,0.625,0.19869281,11.17857143,3,5.75,5.25,4.5,4.5,5.75,2.5,0.986240841,0.45912209,0.434965972,2.475686415,0.938351216,1.05492357,0.001559625,4012,0,20,1,0,0,1,0,0,0,585,530,3,3
by2308145,0,0,0,0,0,1,62,3844,0.5625,0.752941176,-11.53571429,3,2,2.75,3.75,2.5,2,2.25,-0.936291306,-0.612163427,-1.071517709,0.578485019,-0.189208967,-0.204043282,0.932016313,5698,1,25,0,0,1,0,0,1,0,559,568,24,12
by2308108,0,0,1,0,0,0,62,3844,0.6875,0.604977376,1.285714286,5,7,7,7,5.75,6.75,2,-0.345566018,-1.203647142,-1.525836003,1.18489566,0.209051559,0.258173286,0.389795423,5214,1,23,0,0,1,0,0,1,0,556,525,16,4
sy2308220,0,0,1,0,0,0,58,3364,0.8125,0.690885585,2.642857143,3.75,6.75,6.25,5.5,6.25,6.75,3.5,0.325457116,-0.067372222,-0.087619252,1.65365416,0.351476901,0.700837181,0.359200686,3752,0,23,0,1,0,0,0,1,0,530,500,16,4
sy2308220,0,1,0,0,0,0,66,4356,0.75,0.437990581,4.928571429,4.5,6.75,6,5.25,5.75,5.5,2.25,1.196316209,0.534583558,0.626541908,2.995543958,0.903220789,1.235056771,0.019590823,3752,0,23,0,1,0,0,0,1,0,530,500,1,1
21377298,0,0,0,0,1,0,66,4356,0.375,0.441243194,-14.57142857,3,4.75,3.5,3.25,4.75,5,2.25,-0.411062727,-1.14951655,-1.168178707,0.849462013,-0.07169533,-0.167474989,0.674631894,4306,1,19,1,0,0,0,1,0,0,500,450,22,10
22377256,0,1,0,0,0,0,58,3364,0.5,0.74171123,0.785714286,5.5,6,6,4.5,5.25,4,5.25,1.383354975,0.071913569,0.554885657,2.411839589,-0.218587346,-0.412424907,0.897056818,4038,1,19,1,0,0,1,0,0,0,520,427,24,12
zy2207207,0,0,0,0,1,0,66,4356,0.9375,0.641447368,12,4.75,6,6.5,4.5,4.25,6.75,1.5,0.681718897,-0.000722646,-0.03847839,1.800865386,0.207107287,0.558724093,0.091083817,4030,1,24,0,1,0,0,0,0,1,616,598,19,7
sy2308310,0,0,0,1,0,0,66,4356,0.625,0.41372549,-8.107142857,5,5,5,5.25,5,5.25,5,0.577667622,-0.01696287,-0.02114052,0.509105814,0.505820853,0.442263044,-0.022173394,4487,0,22,0,1,0,0,0,1,0,667,585,3,3
21377298,1,0,0,0,0,0,66,4356,0.375,0.102593996,-2.678571429,5,5,5.75,5.25,5.5,6,3.5,0.589873431,-0.350301875,0.109197822,1.340575549,-0.144734266,-0.128876501,0.056676276,4306,1,19,1,0,0,0,1,0,0,500,450,8,8
zy2308131,0,0,0,0,1,0,62,3844,0.5625,0.40972973,-4.821428571,4,7,7,5.75,2.25,1.75,2.25,0.570573621,-0.889314537,-0.564449137,0.201266843,-0.522976313,-0.832112329,0.853381991,4060,0,22,0,1,0,0,1,0,0,560,541,21,9
zy2207207,0,1,0,0,0,0,70,4900,0.9375,0.440737834,15.82142857,5.25,6,6,5.25,5,6,5.5,1.402089051,0.935001696,0.764843238,3.164423178,0.693861104,1.239125109,-0.006941547,4030,1,24,0,1,0,0,0,0,1,616,598,1,1
21377125,0,0,0,0,0,1,66,4356,0.5,0.235853659,1.821428571,3,5.25,5.25,3.5,4.25,5.25,3.25,1.604571402,1.386828952,0.939393676,1.7912484,0.500381945,0.506856724,0.075905904,4717,1,21,1,0,0,1,0,0,0,583,523,5,5
22377339,0,0,0,1,0,0,62,3844,0.5625,0.298273155,-7.821428571,3.5,4.5,4.5,3.75,4.5,6.75,2,1.858352929,1.363231888,1.202214605,2.256903444,0.645055377,0.767673999,0.02235559,3615,0,21,1,0,0,1,0,0,0,556,518,1,1
21377125,0,0,1,0,0,0,58,3364,0.6875,0.705381543,1,2,5.25,4.5,2,2.25,4.25,3,0.928385832,0.232851561,0.220118825,1.733171112,-0.093448551,0.008591665,0.088057734,4717,1,21,1,0,0,1,0,0,0,583,523,14,2
20377359,0,0,1,0,0,0,62,3844,0.8125,0.662626263,8.464285714,4.25,7,7,5.5,3.75,6,3.75,-0.283524371,-0.627564236,-0.647609911,1.282745424,-0.043898365,0.390261324,0.05149886,3539,0,22,1,0,0,0,1,0,0,556,523,15,3
zy2207207,0,0,0,1,0,0,70,4900,0.875,0.444117647,15.32142857,5.5,6,6.75,6,5.75,5.75,4.5,0.945425828,0.065444671,-0.085239728,2.244664856,0.227932557,0.43980578,-0.019298609,4030,1,24,0,1,0,0,0,0,1,616,598,3,3
by2308108,0,0,0,0,0,1,70,4900,0.5625,0.351869919,1.964285714,5,7,6.75,6.5,5.75,6.75,2,0.565674384,0.221298239,0.086879962,1.030090341,0.264810191,-0.041203269,0.036147807,5214,1,23,0,0,1,0,0,1,0,556,525,5,5
21377035,0,0,0,0,1,0,58,3364,0.6875,0.597995403,0.142857143,7,6.25,7,7,6.25,6.5,4.25,0.429380486,-0.301400177,-0.376785602,2.428920106,0.542788947,0.8749164,0.183116257,4206,0,20,1,0,0,0,0,1,0,602,520,17,5
sy2308310,1,0,0,0,0,0,70,4900,0.625,0.319466248,-8.071428571,4.75,5,4.75,4.75,5,4.75,5,1.029368942,0.780553224,0.810872631,2.005366436,0.911804617,0.926404149,0.061017137,4487,0,22,0,1,0,0,0,1,0,667,585,1,1
zy2207207,0,0,0,1,0,0,62,3844,0.9375,0.675865801,13.5,4,6,6.5,3.75,5,5.75,2.25,1.550022208,0.063806164,0.44020035,0.816788301,0.154273132,0.123012246,0.15831688,4030,1,24,0,1,0,0,0,0,1,616,598,9,9
by2308103,0,0,0,1,0,0,58,3364,0.5625,0.173684211,10.96428571,6.5,7,7,7,6.75,7,5.75,-1.364256736,-1.628013526,-1.642655734,0.542516889,-0.575276498,-0.208026967,0.041697815,4557,1,23,0,0,1,0,0,1,0,556,553,19,7
21377163,0,0,1,0,0,0,58,3364,0.75,0.40966811,4.785714286,1,7,2.5,4,2,3.25,1.5,0.694800727,0.395675117,0.18361691,2.437312669,0.928734869,1.237130111,0.015995301,4904,1,20,1,0,0,0,0,1,0,438,523,15,3
21377242,0,0,1,0,0,0,58,3364,0.625,0.708333333,2.714285714,4,4.5,4.75,4.5,4.75,4.5,2,0.412331855,-0.215133491,0.058101249,1.509818838,0.024130824,0.008891506,0.00851052,3895,1,20,1,0,0,1,0,0,0,550,500,12,12
by2308108,0,0,0,0,1,0,62,3844,0.5625,0.492105263,-5.142857143,3,6.5,6.75,4.5,4.75,6.25,1.25,0.284210167,-0.814041734,-0.885559237,1.607091985,0.251329185,0.290140673,0.041493092,5214,1,23,0,0,1,0,0,1,0,556,525,19,7
22374085,1,0,0,0,0,0,58,3364,0.625,0.585561497,1.357142857,4.5,4.75,4.5,4.5,4.25,5.75,4,0.86612365,0.373465099,0.169668335,-0.166853293,-0.582687837,-0.600418036,0.57608813,4395,0,19,1,0,0,0,0,0,1,545,523,24,12
20377359,0,0,0,0,1,0,70,4900,0.6875,0.501569859,2.857142857,5.25,6.75,6.5,6,5.5,5.75,5,0.398455603,-0.197070679,-0.084111661,1.462213838,0.563116924,0.578158236,0.025913158,3539,0,22,1,0,0,0,1,0,0,556,523,1,1
21377163,0,1,0,0,0,0,62,3844,0.5625,0.347697368,2.928571429,3,7,5.75,4,2.5,5.25,2.75,0.313301749,-0.376033956,-0.157508521,0.586044781,-0.220255052,-0.141680041,0.012970582,4904,1,20,1,0,0,0,0,1,0,438,523,19,7
sy2308220,0,0,0,0,1,0,62,3844,0.75,0.493062855,4.464285714,3.5,6.75,6.5,5.5,6.5,6.75,2.5,0.599312177,0.251349993,0.155748842,2.382108622,0.697468189,1.469133206,0.040127542,3752,0,23,0,1,0,0,0,1,0,530,500,14,2
22377256,0,0,0,0,1,0,66,4356,0.375,0.222222222,-1.5,2.5,2.25,3,3,2,2,2.25,0.479245244,-0.023880562,0.224303051,1.493378911,1.049302269,1.013973958,0.010116399,4038,1,19,1,0,0,1,0,0,0,520,427,3,3
zy2207207,1,0,0,0,0,0,58,3364,1,0.825265139,13.96428571,5.5,6,6.75,6,5.25,6,2.25,-0.019355628,-0.276526383,-0.474696785,0.932562076,0.640099244,0.462124995,0.095574044,4030,1,24,0,1,0,0,0,0,1,616,598,18,6
sy2308220,0,1,0,0,0,0,70,4900,0.625,0.404112554,6.392857143,5.5,6.75,6.75,6.75,6.25,6.75,4.75,0.610266379,-0.593937684,-0.414955595,1.839875602,-0.012028856,0.617118407,-0.002823817,3752,0,23,0,1,0,0,0,1,0,530,500,15,3
zy2207207,1,0,0,0,0,0,62,3844,0.875,0.435795455,15.10714286,5.5,6,6.5,6,5.25,7,3.75,0.115808078,-0.590726583,-0.386298527,0.932562076,-0.022364236,-0.042363695,0.004490532,4030,1,24,0,1,0,0,0,0,1,616,598,13,1
sy2308220,0,0,0,0,1,0,70,4900,0.625,0.621486486,3.678571429,4.75,6.5,6.75,6.75,6.75,6.5,4.75,0.558233918,-0.05375116,-0.114803721,1.618053003,-0.186658433,-0.045645351,0.922308683,3752,0,23,0,1,0,0,0,1,0,530,500,21,9
sy2308220,0,0,0,1,0,0,58,3364,0.625,0.394390244,5.642857143,5.75,5.75,6.75,6.75,6.25,6.75,6.5,0.506201456,0.024716526,-0.215222943,1.590667497,-0.161188273,0.232387285,0.089923896,3752,0,23,0,1,0,0,0,1,0,530,500,5,5
20377292,0,0,1,0,0,0,66,4356,0.5625,0.481041481,9.321428571,5,6,5,5.5,6,5.5,3.25,0.451165203,-0.330580868,-0.410809697,1.528452593,0.060469458,0.08909949,0.721042871,4467,1,20,1,0,0,1,0,0,0,500,523,23,11
21377006,0,0,0,0,1,0,66,4356,0.75,0.779185296,9.214285714,1.5,4.25,4.25,4,3.25,4,2,1.582019071,0.705672136,0.684519035,2.182846268,1.299237894,1.275261657,0.001371442,4012,0,20,1,0,0,1,0,0,0,585,530,4,4
sy2308220,0,0,0,0,1,0,66,4356,0.625,0.371212121,5.285714286,3.5,5.75,5.75,5.5,4,4.75,1.75,1.240133019,0.168681276,0.446730497,1.823444298,0.491543366,0.711355078,0.115390599,3752,0,23,0,1,0,0,0,1,0,530,500,9,9
22374085,0,1,0,0,0,0,66,4356,0.625,0.43558478,-1.821428571,4.75,5.5,5.75,4.5,4.25,6.5,1.75,1.249383647,-0.074186256,0.028988512,2.008603449,0.379090447,0.427747869,0.203253344,4395,0,19,1,0,0,0,0,0,1,545,523,17,5
21377006,0,1,0,0,0,0,58,3364,0.6875,0.466248038,6.321428571,4.25,6,5.5,4.75,5,6,3.25,1.682998432,0.585813708,0.519811367,3.313815111,1.081496124,1.621523888,0.02252268,4012,0,20,1,0,0,1,0,0,0,585,530,1,1
21377053,0,0,1,0,0,0,70,4900,0.625,0.714054054,-3.464285714,3.25,5.25,3.5,3.25,4.75,4.25,3.25,-0.17833447,-0.891473623,-0.982161084,0.717801546,-0.421574537,-0.62443107,0.943392992,4273,1,20,1,0,0,0,1,0,0,570,553,21,9
21377053,0,1,0,0,0,0,58,3364,0.625,0.583655084,-0.5,2.25,5.25,4.75,2.5,4,3,2.5,0.76015202,-0.116905486,-0.074819404,0.301072888,-0.360907321,-0.461077437,0.849235475,4273,1,20,1,0,0,0,1,0,0,570,553,23,11
21377035,0,0,0,0,0,1,58,3364,0.75,0.60171386,3.785714286,7,7,7,6.5,4.5,5,3,1.407738422,0.327482785,0.670945425,2.363037417,1.14703761,1.131095922,0.027719172,4206,0,20,1,0,0,0,0,1,0,602,520,4,4
20377292,0,0,0,0,1,0,58,3364,0.5625,0.354248366,1.892857143,4.75,6,6,5.75,6,6,2,0.62027427,0.185244644,0.001189879,1.334290331,0.643292444,0.437545971,0.002450552,4467,1,20,1,0,0,1,0,0,0,500,523,3,3
21377163,0,0,0,1,0,0,62,3844,0.5625,0.378705384,5.964285714,1.5,7,3.5,5.25,2.75,5.25,1.5,0.339531302,-0.723932634,-0.662234127,1.202328477,-0.042541446,-0.046439282,0.739099801,4904,1,20,1,0,0,0,0,1,0,438,523,22,10
sy2308207,0,1,0,0,0,0,62,3844,0.6875,0.587589377,-7.714285714,3,6,3.75,3.75,3.5,4.25,3,-0.427196743,-1.066614458,-0.918925811,0.588040676,-0.033925077,0.012459778,0.180074781,3383,1,23,0,1,0,0,0,1,0,478,557,17,5
22374085,1,0,0,0,0,0,66,4356,0.4375,0.146769663,0.071428571,4.75,5,5,4,4.25,6.5,2.75,0.0667528,-0.682423012,-0.602677298,0.441623544,-0.390532536,-0.283452757,0.146307632,4395,0,19,1,0,0,0,0,0,1,545,523,11,11
22377318,0,0,1,0,0,0,62,3844,0.5,0.410602911,-1.428571429,4.5,6.75,6.5,5.75,6.25,6.25,4.25,0.390408947,0.102522849,0.064852373,1.209036541,0.224986833,0.185367482,0.741452873,4396,1,20,1,0,0,1,0,0,0,500,523,23,11
22377099,0,1,0,0,0,0,58,3364,0.5625,0.459409959,4.678571429,3.75,6.75,6.25,6.25,6.25,7,3.5,0.48933532,-0.455741329,-0.332360326,0.975505707,0.135265349,-0.077280575,0.685701072,4034,0,19,1,0,0,0,1,0,0,630,523,23,11
21377006,0,0,0,0,0,1,66,4356,0.6875,0.573338426,12.96428571,4,6,6,5.25,5,5.75,3.25,1.016534649,0.38166284,0.466198631,1.682998432,0.878760977,0.933065462,0.065239362,4012,0,20,1,0,0,1,0,0,0,585,530,2,2
21377298,0,0,1,0,0,0,62,3844,0.5,0.597326203,-5.428571429,1,4.5,4.5,1,3.5,3.75,2,0.531407534,-0.852285261,-0.811474581,1.254046021,0.423027666,0.421379533,0.743192554,4306,1,19,1,0,0,0,1,0,0,500,450,24,12
21377086,0,1,0,0,0,0,70,4900,0.375,0.418290043,-6.035714286,3.25,5,5,4.75,3.5,4.75,3.25,0.468869413,-0.139469075,-0.15674434,1.413450387,0.181694966,0.238456198,0.129295185,4101,0,20,1,0,0,1,0,0,0,500,500,9,9
21377035,0,0,0,1,0,0,62,3844,0.6875,0.664704646,2.892857143,6,7,6.25,5.75,4.75,6.25,5.75,0.063731561,-0.476376892,-0.579617438,2.412449433,0.327400801,0.81853614,0.066861257,4206,0,20,1,0,0,0,0,1,0,602,520,14,2
21377053,1,0,0,0,0,0,70,4900,0.625,0.449346405,8.857142857,4.75,5.5,6.25,4.75,5.5,5.5,4.25,-0.059753145,-0.985434984,-0.707735439,1.495356238,0.35842967,-0.290598256,-0.019884042,4273,1,20,1,0,0,0,1,0,0,570,553,3,3
21377053,0,0,0,0,1,0,70,4900,0.8125,0.770023124,10.07142857,5.75,6.75,6.5,6.5,6.25,6.75,6.25,0.763540058,0.225354035,0.139033493,2.166187736,1.060741169,0.839919257,0.096752651,4273,1,20,1,0,0,0,1,0,0,570,553,14,2
21377053,0,0,0,0,1,0,58,3364,0.75,0.692434211,1.25,2,4,3,2.25,3.5,3,3,1.298850041,0.319490368,0.452743126,2.103509035,0.813759642,0.835000453,0.071933746,4273,1,20,1,0,0,0,1,0,0,570,553,19,7
zy2207207,0,0,0,0,1,0,62,3844,0.9375,0.954545455,14.25,4.75,7,6,5.25,3.25,5.5,1.25,-0.238039425,-0.241048999,-0.587924908,0.418011966,-0.365573458,-0.458670443,0.910959125,4030,1,24,0,1,0,0,0,0,1,616,598,24,12
sy2308220,0,1,0,0,0,0,58,3364,0.75,0.627819549,4.607142857,5,6.5,6.25,6.75,6.75,6.5,3.5,1.097728387,0.525040687,0.109957613,2.954465699,0.974360393,1.689678284,0.061015163,3752,0,23,0,1,0,0,0,1,0,530,500,6,6
21377163,0,0,1,0,0,0,70,4900,0.625,0.458823529,7.178571429,4.75,5.5,4.5,5,4.25,5.75,4,0.330851563,-0.221862341,-0.399960463,1.491676917,0.18124565,0.203585374,-0.029873252,4904,1,20,1,0,0,0,0,1,0,438,523,3,3
sy2308310,0,0,0,1,0,0,70,4900,0.375,0.198411542,-16.28571429,5,5.5,4.75,4.75,5,5,5.75,0.073536684,-0.309906681,-0.389640738,0.307453439,-0.134877581,-0.140537568,0.053964436,4487,0,22,0,1,0,0,0,1,0,667,585,8,8
21377086,0,0,0,0,1,0,66,4356,0.4375,0.215686275,5.285714286,4.25,5,5,5.75,4,5,4.5,2.048361782,-0.173260336,-0.322435959,2.474453724,0.499663111,0.519704212,0.006622197,4101,0,20,1,0,0,1,0,0,0,500,500,3,3
by2308106,0,0,0,1,0,0,62,3844,0.625,0.494345238,-7.428571429,5.25,5,5.25,4.75,4.5,4,3.25,0.065039099,-0.504132897,-0.591378618,1.66666279,0.541677587,0.703999679,0.060089108,3590,0,23,0,0,1,0,0,1,0,585,566,7,7
21377125,0,0,1,0,0,0,66,4356,0.5,0.45734127,3.25,2,4,5.5,3,3.5,4.5,3,0.637999391,-0.191721533,-0.279799661,1.940589999,0.074257426,0.508012814,0.173226655,4717,1,21,1,0,0,1,0,0,0,583,523,20,8
by2308106,0,0,0,0,1,0,70,4900,0.625,0.511707317,0.714285714,5.5,5.75,5.75,5.25,5.25,5.5,6.5,-0.094364206,-0.369296663,-0.511409579,2.10691954,-0.05173057,0.146144961,-0.00461797,3590,0,23,0,0,1,0,0,1,0,585,566,5,5
21377125,0,0,1,0,0,0,70,4900,0.5,0.330481283,6.714285714,3.25,4.25,4.75,3.5,2.25,4.5,4,0.85786341,0.667998597,0.008485713,2.052596198,0.324398804,0.299795177,0.079192594,4717,1,21,1,0,0,1,0,0,0,583,523,2,2
21377163,0,0,0,1,0,0,66,4356,0.5,0.276238509,6.892857143,2.5,7,5,4.25,1.75,5.75,3.5,0.384443906,-0.239489178,-0.234773135,1.250989299,0.187816643,0.200705738,0.168475077,4904,1,20,1,0,0,0,0,1,0,438,523,11,11
21377086,0,0,0,0,0,1,58,3364,0.4375,0.452380952,-9.285714286,1.75,5,5,3.75,4.25,3,2.5,0.541920596,-0.362458766,-0.131026575,2.830507374,0.369049065,0.600784141,0.002470627,4101,0,20,1,0,0,1,0,0,0,500,500,7,7
20377359,0,1,0,0,0,0,62,3844,0.625,0.634759358,1.25,4.75,7,6.5,6.25,5.75,7,4.25,1.00864821,0.561522123,0.344498616,1.108966997,-0.037130702,-0.040242824,0.6659711,3539,0,22,1,0,0,0,1,0,0,556,523,24,12
zy2207207,0,0,0,1,0,0,58,3364,0.9375,0.606132756,16.35714286,5.75,6,6.75,6,5,6.75,2.25,-0.173720661,-0.364541233,-0.738743433,2.206073598,0.244490476,0.782088181,0.078438498,4030,1,24,0,1,0,0,0,0,1,616,598,15,3
21377242,0,0,0,1,0,0,58,3364,0.5625,0.359497645,6.392857143,5.25,4.25,5.25,5.25,5.25,5,4.75,1.045406209,0.800661745,0.679339153,1.566059869,0.485975399,0.481433223,0.007028533,3895,1,20,1,0,0,1,0,0,0,550,500,1,1
20377359,0,0,1,0,0,0,66,4356,0.6875,0.393353705,4.857142857,5.75,6,6.5,5.75,5,6.25,5.5,1.044541893,0.175640825,0.13570768,2.561865757,0.973034618,1.144543889,0.072907194,3539,0,22,1,0,0,0,1,0,0,556,523,2,2
20377292,0,0,0,0,0,1,66,4356,0.625,0.660157389,5.892857143,6,6,6,6,5.75,6,3.75,0.996072197,0.521607021,0.16835027,2.298838343,0.997225257,1.40148511,0.050463263,4467,1,20,1,0,0,1,0,0,0,500,523,8,8
20377292,0,0,0,0,1,0,66,4356,0.5,0.518049933,-0.428571429,2,6,5.75,3,4.5,5,2.5,0.682907258,0.271352027,0.099572366,2.361471331,0.570338003,0.677209347,0.117016792,4467,1,20,1,0,0,1,0,0,0,500,523,10,10
22374085,0,1,0,0,0,0,62,3844,0.5,0.370580808,-3,4.25,5.5,4.25,4.25,5,6.5,2,0.412019977,-0.306135354,-0.410263102,1.388060418,0.239999322,0.24054485,-0.035386194,4395,0,19,1,0,0,0,0,0,1,545,523,12,12
21377061,0,0,1,0,0,0,70,4900,0.25,0.274675775,-3.142857143,5,5.75,5.75,5.5,6,6,2.5,1.180127505,-0.1878495,-0.056784178,1.16626086,-0.282500031,-0.25578182,0.727876067,4293,0,21,1,0,0,1,0,0,0,512,432,23,11
sy2308220,0,1,0,0,0,0,62,3844,0.5625,0.450396825,4.035714286,5,6.5,6.5,6.5,6.25,7,2.5,0.163882631,-0.156748399,-0.581548278,1.705686622,0.024169898,0.078539175,0.202605456,3752,0,23,0,1,0,0,0,1,0,530,500,20,8
21377035,0,0,0,1,0,0,58,3364,0.5625,0.515873016,4.607142857,7,6.5,6.75,7,5.25,4.75,5.5,0.613852016,-0.596236954,-0.784033649,2.392684627,0.020044247,0.125965925,0.201682955,4206,0,20,1,0,0,0,0,1,0,602,520,20,8
21377006,0,0,0,0,0,1,58,3364,0.5625,0.453876421,10.67857143,4.75,5.25,5.5,4.75,4.75,4.75,2.5,0.536882685,-0.207929714,-0.219051134,1.814271601,0.390096245,0.664461934,0.130524904,4012,0,20,1,0,0,1,0,0,0,585,530,8,8
20377292,1,0,0,0,0,0,66,4356,0.5,0.358134921,2.464285714,6,6,6,6,6,6,5.25,1.584822282,1.022819841,0.999750422,2.618266581,0.623768812,1.069368195,0.178433582,4467,1,20,1,0,0,1,0,0,0,500,523,20,8
21377086,0,0,0,1,0,0,66,4356,0.4375,0.420649839,1.714285714,3.25,5,5,4.5,5,5,3,0.402575276,-0.302999733,-0.222113343,1.60852494,0.268144972,0.318579307,0.064970419,4101,0,20,1,0,0,1,0,0,0,500,500,6,6
20377292,0,1,0,0,0,0,62,3844,0.5,0.653648649,1.392857143,4.5,5.75,5,5,5.75,6,1.75,-0.168901376,-0.565081108,-0.593820996,1.158917965,-0.443014666,-0.425400344,0.798260808,4467,1,20,1,0,0,1,0,0,0,500,523,21,9
21377163,0,0,0,0,1,0,70,4900,0.5625,0.436507937,10.5,5,7,6.25,5,4,6.5,5.5,0.571446479,-0.507177883,-0.28331224,1.574515494,0.335085824,0.404774896,0.128315032,4904,1,20,1,0,0,0,0,1,0,438,523,20,8
by2308111,0,0,0,1,0,0,58,3364,0.6875,0.610468783,3.571428571,5,6,5,5,6,6,6,0.476527555,-0.00016897,-0.129128154,1.155422865,-0.006062001,-0.020042916,0.061169725,3398,1,22,0,0,1,0,1,0,0,580,510,14,2
21377163,0,0,1,0,0,0,66,4356,0.5625,0.397162162,4.571428571,4,7,4.75,4.25,3.25,6.75,4.25,0.544026867,-0.072636134,-0.108304114,1.58121131,0.278768811,0.372011197,0.791508436,4904,1,20,1,0,0,0,0,1,0,438,523,21,9
sy2308220,0,0,0,0,0,1,66,4356,0.625,0.464583333,6.142857143,4.75,6.25,6.25,6.25,5.75,6.75,4.25,0.919722598,0.567559712,0.512455171,2.436879634,0.652156481,0.951517046,0.004341356,3752,0,23,0,1,0,0,0,1,0,530,500,7,7
21377086,1,0,0,0,0,0,70,4900,0.375,0.345131644,-3.535714286,3.25,5,4,4.5,5,5.5,3.75,0.68211859,-0.197559361,-0.033288342,1.674500466,0.197003389,0.228447686,-0.014485875,4101,0,20,1,0,0,1,0,0,0,500,500,4,4
by2308145,0,0,0,1,0,0,66,4356,0.625,0.665241191,5.678571429,3.75,4,4,4.25,3.25,3.75,3.5,-0.352978958,-0.40539419,-0.359579233,0.591278046,0.006071308,0.23527781,0.055253454,5698,1,25,0,0,1,0,0,1,0,559,568,18,6
sy2308220,0,0,0,0,0,1,58,3364,0.5625,0.2,6.321428571,5.25,6.5,6.5,6.75,6.5,6.75,2.5,0.243300598,-0.155051338,-0.276089204,1.524942282,0.344616647,0.066705896,0.04286965,3752,0,23,0,1,0,0,0,1,0,530,500,13,1
22377202,0,0,0,0,1,0,66,4356,0.625,0.39599686,5.928571429,3,6,2.5,3,5.5,5.5,1.5,-0.15584741,-0.834922659,-0.806977353,1.090923005,0.201268537,0.499627002,-0.061338734,3744,1,18,1,0,0,0,1,0,0,610,537,1,1
zy2207207,0,0,0,0,0,1,58,3364,0.875,0.778041778,14.25,5.5,6,6.75,5.5,5.25,6,2,0.096418147,-0.528107698,-0.58462581,0.900402694,-0.015603595,0.121627395,0.953143299,4030,1,24,0,1,0,0,0,0,1,616,598,23,11
20377359,0,1,0,0,0,0,58,3364,0.625,0.63562753,1.428571429,2,6.5,6.5,5,4.5,6.5,2.25,-0.564147709,-0.526783368,-0.669790259,1.534001204,0.031067979,0.686307472,0.160474226,3539,0,22,1,0,0,0,1,0,0,556,523,10,10
22377099,1,0,0,0,0,0,66,4356,0.4375,0.487373737,-6.535714286,1,6.75,5,5.5,5.5,6.5,1.25,-0.199065607,-0.490292953,-0.642943315,0.94934524,0.000602387,0.116826946,0.024980422,4034,0,19,1,0,0,0,1,0,0,630,523,12,12
